8.86816,4.01538
9.13306,3.99106
9.2113,3.96893
9.14539,4.06125
8.96429,3.92291
8.96759,3.96143
8.80725,3.95053
8.85901,3.91476
8.56586,3.91
8.55597,3.87857
8.56781,3.89935
8.34015,3.90088
8.37469,3.97299
8.09955,4.00629
8.06689,4.04614
8.03937,4.10376
7.83447,4.18091
7.78339,4.14786
7.74396,4.1535
7.65063,4.01425
7.36536,4.14102
7.25232,4.22223
7.16064,4.28778
7.00488,4.30609
6.88751,4.26093
6.84027,4.31833
6.9812,4.29214
6.5899,4.44427
6.28247,4.59393
6.21918,4.64462
6.16559,4.47922
6.20569,4.40714
5.85266,4.65787
6.09155,4.62274
5.85492,4.6232
5.71924,4.48679
5.63794,4.70401
5.52338,4.71771
5.48871,4.81546
5.3056,4.96869
5.04175,4.94211
4.92987,4.91513
4.82428,4.8475
4.84143,4.84869
4.62524,4.78607
4.56543,4.836
4.63403,4.6015
4.30249,4.53574
4.28278,4.50903
4.15295,4.30942
3.94031,4.48743
3.85699,4.50748
3.63861,4.47372
3.51373,4.64883
3.40131,4.62936
3.427,4.61179
3.26025,4.71887
3.16858,4.75192
2.9339,4.88657
2.96973,4.80795
2.63892,4.87665
2.66675,4.85104
2.57404,4.91794
2.37354,4.90048
2.13452,5.02502
2.2453,5.11041
1.97076,5.23953
1.86353,5.18512
1.94867,5.23318
1.76624,5.18875
1.55298,5.05844
1.49963,4.82043
1.40686,4.92303
1.39423,4.83731
1.25488,4.80264
1.02039,4.79672
0.781799,4.80319
0.730103,4.86905
0.614868,4.83264
0.60907,4.75577
0.540955,4.81128
0.442444,4.81915
0.525513,4.8891
0.26947,4.76572
0.129761,4.82492
0.046814,4.84872
-0.0982666,4.92859
-0.342407,4.99042
-0.417725,4.9549
-0.622803,5.09271
-0.71051,4.92047
-0.695313,4.91058
-0.955139,5.02719
-1.03082,4.97455
-0.997864,4.97546
-1.1814,5.11441
-1.10431,4.94183
-1.61975,5.03171
-1.52368,4.8714
-1.52448,4.89389
-1.62408,4.9169
-1.63147,4.87857
-1.74518,4.95242
-1.8349,4.93939
-2.15796,5.04819
-2.09747,5.05032
-2.13092,5.07498
-2.08441,4.90842
-2.2663,5.004
-2.46332,5.08942
-2.59766,5.19574
-2.66528,5.29138
-2.7829,5.27475
-2.9035,5.21686
-2.89014,5.21722
-3.10492,5.2301
-3.24487,5.24689
-3.30402,5.29739
-3.42389,5.34216
-3.56921,5.17236
-3.52997,5.18451
-3.63068,5.13007
-3.54663,5.05215
-3.67676,5.0961
-3.5498,5.08047
-3.50989,5.02631
-3.77722,5.14966
-3.75305,5.04233
-3.84723,5.0343
-3.98578,5.09369
-4.26465,5.11038
-4.26349,5.09888
-4.41772,5.09317
-4.47217,5.15814
-4.80927,5.34323
-4.99329,5.49655
-4.90668,5.58105
-5.14081,5.76242
-5.05603,5.82477
-5.19507,5.63062
-5.31763,5.75043
-5.14056,5.95483
-5.19476,5.85226
-5.48157,5.54623
-5.49957,5.73645
-5.54651,5.35654
-5.50446,5.20999
-5.50177,5.45096
-5.74225,5.57217
-5.71509,5.43692
